country,OECD_membership,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OECD,OECD,1.5,0.6,-1.8,0.3,1,1,0.7,1.3,1.4,1.5,1.1
Euro area,OECD,2,0.9,-1.9,-0.5,0.2,-0.6,-0.6,0.6,1,1.3,1
Australia,OECD,3.1,2.8,0.7,2,1.7,1.2,0.9,0.7,1.9,1.9,1.6
Austria,OECD,2.5,1.8,-0.3,0.9,0.9,0.8,0.5,0.2,0.9,1.5,1.2
Belgium,OECD,1.7,1.8,-0.1,0.6,1.3,0.4,-0.4,0.3,0.9,1,1
Canada,OECD,2.3,1.4,-1.6,1.4,1.5,1.3,1.4,0.6,0.9,0.6,1
Chile,OECD,2.8,2.9,-0.6,7.8,5.1,1.9,2.1,1.5,1.5,0.8,1.6
Czech Republic,OECD,1.9,1.6,-1.3,-1,-0.2,0.3,1,0.7,1.4,0.6,0.4
Denmark,OECD,-0.1,1.7,-2.9,-2.3,-0.1,-0.5,0,1,1.4,1.2,0.9
Estonia,OECD,0.8,-0.3,-9.4,-4.4,6.4,1.9,1,0.6,2.6,-0.4,0.2
Finland,OECD,2,1.6,-2.9,-0.4,1.1,0.4,-1,-0.4,-0.4,-0.1,0.2
France,OECD,1.7,1.3,-1,0.2,0.1,0.2,-0.2,0.1,0,0.4,0.5
Germany,OECD,2.1,1,-0.3,0.8,2.5,1,1,0.9,0.7,1.6,0.8
Greece,OECD,0.8,1,-1.2,-3.6,-7.6,-8.9,-4.9,0.7,2.1,2.1,2.1
Hungary,OECD,-0.7,-1.4,-2.6,-0.4,0.7,1.8,1.7,5.3,2.7,2.2,1.6
Iceland,OECD,4.4,0.8,-6.1,-0.3,0.3,1.1,3.1,2.5,3.4,2.4,0.9
Ireland,OECD,4.8,-0.7,-7.8,-4.1,-1.8,-0.6,2.3,1.8,2.6,2.6,2.4
Israel,OECD,4.3,3.4,2,3.5,3,3.3,2.6,3.1,2.5,2.1,1.9
Italy,OECD,0.7,0.8,-1.6,-0.8,0.3,-0.3,-1.5,0.4,0.9,0.8,0.9
Japan,OECD,0.6,-0.3,-1.5,-0.3,-0.1,-0.3,0.7,0.6,0.4,0.5,-0.2
Korea,OECD,1.2,0.6,-0.3,1.4,1.7,1.8,1.6,2.1,1.3,1.2,1.2
Luxembourg,OECD,2.3,2.9,1.1,1.6,2.7,2.4,1.8,2.2,1.8,2.1,2.1
Mexico,OECD,1.7,1.1,0.5,1.1,2.2,3.3,1.1,0.4,2.4,2,1.6
Netherlands,OECD,2.9,2.3,0,-1,0,0.6,-0.8,-0.6,1,0.9,0.9
New Zealand,OECD,1.7,0.7,-1.7,0.5,1.5,0.2,1.5,3.5,2.3,2.2,1.3
Norway,OECD,3.4,3.3,-0.6,0.1,1.4,2,0.6,1,0.6,0.1,0.6
Poland,OECD,4.4,3.7,0.4,0.6,0.6,0.2,-0.1,1.9,1.4,1.3,0.7
Portugal,OECD,0.3,0.5,-2.9,-1.4,-3.2,-4.1,-2.6,1.6,1.1,-0.3,0.7
Slovak Republic,OECD,2.4,3.2,-2.8,-2,-0.1,0.6,0,1.5,2.6,1.8,1.1
Slovenia,OECD,2.5,1.1,-1.5,-1.5,-3.1,-1.3,-1.9,1.2,0.1,0.4,0.8
Spain,OECD,3.2,-0.5,-6.7,-2,-1.6,-4.3,-2.8,1.2,3,2.9,2.1
Sweden,OECD,2.6,1.1,-2.1,0.5,2.3,0.6,1.1,1.4,1.4,1.6,1.2
Switzerland,OECD,2.3,2.3,0.4,0.1,2.2,1.2,1.2,1.6,1.4,0.8,1.3
Turkey,OECD,1.5,1.7,0.3,6,6.1,3.1,2.9,5.1,2.9,3,2.8
United Kingdom,OECD,0.8,0.9,-1.6,0.2,0.5,1.1,1.2,2.3,1.5,1.2,0.6
United States,OECD,1.1,-0.5,-3.8,-0.6,0.6,1.8,1,1.6,1.7,2.1,1.5
Brazil,non-OECD,1.6,3.2,0.5,0.7,0.7,1.7,1.4,1.5,0,-1.6,0.7
China,non-OECD,,,,,,,,,,,
Colombia,non-OECD,1.2,2,5.6,4.3,4.2,3.4,1.7,2.2,2.4,2,2.6
Costa Rica,non-OECD,,,,,-2.5,8.7,1.9,1.9,-0.3,-0.9,1.6
India,non-OECD,,,,,,,,,,,
Indonesia,non-OECD,,,,,,,,,,,
Latvia,non-OECD,2.6,-0.2,-13.8,-6.4,1.3,1.6,2.1,-1,1.2,0,0.4
Lithuania,non-OECD,1.2,-1.8,-7.7,-5.1,0.1,1.5,1.6,1.9,1,0.9,0.6
Russian Federation,non-OECD,2.5,0.6,-2.3,0.7,1.5,1,-0.2,0.2,1.1,0,-0.2
South Africa,non-OECD,1.3,7.2,-2.7,-2.9,2,2.5,3.1,1.9,3.9,2.1,3.6
