Overall Rank,Change in rank,Country,Score,Change in score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
1,3,Norway,7.537,0.039,1.616,1.534,0.797,0.635,0.362,0.316,2.277
2,-1,Denmark,7.522,-0.004,1.482,1.551,0.793,0.626,0.355,0.401,2.314
3,0,Iceland,7.504,0.003,1.481,1.611,0.834,0.627,0.476,0.154,2.323
4,-2,Switzerland,7.494,-0.015,1.565,1.517,0.858,0.620,0.291,0.367,2.277
5,0,Finland,7.469,0.056,1.444,1.540,0.809,0.618,0.245,0.383,2.430
6,1,Netherlands,7.377,0.038,1.504,1.429,0.811,0.585,0.470,0.283,2.295
7,-1,Canada,7.316,-0.088,1.479,1.481,0.835,0.611,0.436,0.287,2.187
8,0,New Zealand,7.314,-0.020,1.406,1.548,0.817,0.614,0.500,0.383,2.046
9,0,Australia,7.284,-0.029,1.484,1.510,0.844,0.602,0.478,0.301,2.065
10,0,Sweden,7.284,-0.007,1.494,1.478,0.831,0.613,0.385,0.384,2.098
11,0,Israel,7.213,-0.054,1.375,1.376,0.838,0.406,0.330,0.085,2.802
12,2,Costa Rica,7.079,-0.008,1.110,1.416,0.760,0.580,0.215,0.100,2.899
13,-1,Austria,7.006,-0.113,1.487,1.460,0.815,0.568,0.316,0.221,2.139
14,-1,United States,6.993,-0.111,1.546,1.420,0.774,0.506,0.393,0.136,2.218
15,4,Ireland,6.977,0.070,1.536,1.558,0.810,0.573,0.428,0.298,1.774
16,0,Germany,6.951,-0.043,1.488,1.473,0.799,0.563,0.336,0.277,2.016
17,1,Belgium,6.891,-0.038,1.464,1.462,0.818,0.540,0.232,0.251,2.124
18,2,Luxembourg,6.863,-0.008,1.742,1.458,0.845,0.597,0.283,0.319,1.620
19,4,United Kingdom,6.714,-0.011,1.442,1.496,0.805,0.508,0.493,0.265,1.704
20,4,Chile,6.652,-0.053,1.253,1.284,0.819,0.377,0.327,0.082,2.510
21,7,United Arab Emirates,6.648,0.075,1.626,1.266,0.727,0.608,0.361,0.324,1.735
22,-5,Brazil,6.635,-0.317,1.107,1.431,0.617,0.437,0.162,0.111,2.769
23,4,Czech Republic,6.609,0.013,1.353,1.434,0.754,0.491,0.088,0.037,2.452
24,2,Argentina,6.599,-0.051,1.185,1.440,0.695,0.495,0.109,0.060,2.614
25,-4,Mexico,6.578,-0.200,1.153,1.211,0.710,0.413,0.121,0.133,2.837
26,-4,Singapore,6.572,-0.167,1.692,1.354,0.949,0.550,0.346,0.464,1.216
27,3,Malta,6.527,0.039,1.343,1.488,0.822,0.589,0.575,0.153,1.557
28,1,Uruguay,6.454,-0.091,1.218,1.412,0.719,0.579,0.175,0.178,2.172
29,10,Guatemala,6.454,0.130,0.872,1.256,0.540,0.531,0.283,0.077,2.894
30,-5,Panama,6.452,-0.249,1.234,1.373,0.706,0.550,0.211,0.071,2.307
31,1,France,6.442,-0.036,1.431,1.388,0.844,0.470,0.130,0.173,2.006
32,1,Thailand,6.424,-0.050,1.128,1.426,0.647,0.580,0.572,0.032,2.040
33,2,Taiwan,6.422,0.043,1.434,1.385,0.794,0.361,0.258,0.064,2.127
34,3,Spain,6.403,0.042,1.384,1.532,0.889,0.409,0.190,0.071,1.928
35,1,Qatar,6.375,0.000,1.871,1.274,0.710,0.604,0.330,0.439,1.145
36,-5,Colombia,6.357,-0.124,1.071,1.402,0.595,0.477,0.149,0.047,2.616
37,-3,Saudi Arabia,6.344,-0.035,1.531,1.287,0.590,0.450,0.148,0.273,2.065
38,5,Trinidad and Tobago,6.168,0.000,1.361,1.380,0.520,0.519,0.325,0.009,2.053
39,2,Kuwait,6.105,-0.134,1.633,1.260,0.632,0.496,0.228,0.215,1.640
40,5,Slovakia,6.098,0.020,1.325,1.505,0.713,0.296,0.137,0.024,2.098
41,1,Bahrain,6.087,-0.131,1.488,1.323,0.653,0.537,0.173,0.257,1.656
42,5,Malaysia,6.084,0.079,1.291,1.285,0.619,0.402,0.417,0.066,2.004
43,5,Nicaragua,6.071,0.079,0.737,1.287,0.653,0.448,0.302,0.131,2.514
44,7,Ecuador,6.008,0.032,1.001,1.286,0.686,0.455,0.150,0.140,2.290
45,1,El Salvador,6.003,-0.065,0.910,1.182,0.596,0.432,0.078,0.090,2.715
46,11,Poland,5.973,0.138,1.292,1.446,0.699,0.520,0.158,0.059,1.798
47,2,Uzbekistan,5.971,-0.016,0.786,1.549,0.498,0.658,0.416,0.247,1.817
48,2,Italy,5.964,-0.013,1.395,1.445,0.853,0.256,0.173,0.028,1.813
49,7,Russia,5.963,0.107,1.282,1.469,0.547,0.374,0.052,0.033,2.206
50,2,Belize,5.956,0.000,0.908,1.081,0.450,0.548,0.240,0.097,2.632
51,2,Japan,5.920,-0.001,1.417,1.436,0.913,0.506,0.121,0.164,1.363
52,8,Lithuania,5.902,0.089,1.315,1.474,0.629,0.234,0.010,0.012,2.228
53,-15,Algeria,5.872,-0.483,1.092,1.146,0.618,0.233,0.069,0.146,2.568
54,14,Latvia,5.850,0.290,1.261,1.405,0.639,0.326,0.153,0.074,1.994
55,0,Moldova,5.838,-0.059,0.729,1.252,0.589,0.241,0.209,0.010,2.808
